,concepts,definitions,source
47,EXPERIMENTO ALEATORIO," Es cualquier acto que implique la observación de los valores de una variable aleatoria.   Es aquel que puede dar lugar a varios resultados, sin que pueda ser previsible enunciar con certeza cuál de éstos va a ser observado en la realización del experimento.",book4
48,FRECUENCIA ABSOLUTA,Es el número de veces que la variable asume un valor dado o pertenece a una clase dada.  Se representa simbólicamente por n i .,book4
49,FRECUENCIA ABSOLUTA ACUMULADA, Es el número de observaciones hasta (inclusive) un valor dado de una variable numérica.  Se representa por N i .,book4
50,FRECUENCIA CONDICIONAL," En una distribución conjunta, son las frecuencias de una de las variables estando fijo un valor de la  otra  variable.",book4
51,FRECUENCIA CONJUNTA," Es un número n ij que representa la ocurrencia de dos variables (x, y) en los elementos de población o de la muestra.  (Ver distribución bidimensional) ",book4
52,FRECUENCIA MARGINAL," En una distribución conjunta, son las frecuencias de cada una de las variables sin tener en cuenta el valor de la (s) otra (s).  ",book4
53,FRECUENCIA RELATIVA,Es un valor que se obtiene como el cociente de la frecuencia absoluta (n i ) sobre el tamaño de la muestra (N).  Simbólicamente se representa por hi.,book4
54,FRECUENCIA RELATIVA ACUMULADA, Es una cantidad que se obtiene como el cociente de la frecuencia absoluta acumulada (N i )  sobre el tamaño de la muestra (N).    Simbólicamente se representa por H i .,book4
55,FUENTES DE DATOS," Medios de donde procede la información.  Los datos pueden reunirse de diferentes fuentes de información ya existentes o pueden obtenerse mediante censos, encuestas y estudios experimentales para conseguir nuevos datos.",book4
56,FUENTE PRIMARIA," Es aquella en la que los datos estadísticos se obtienen a partir de un relevamiento propio, como por ejemplo a partir de una encuesta.  ",book4
57,FUENTE SECUNDARIA," Es aquella persona o institución que proporciona datos estadísticos, es decir los datos se obtienen a partir de un relevamiento de otros recopiladores.",book4
58,GRADOS DE LIBERTAD," En estadística grados de libertad de un estadístico calculado en base a «n» datos, se refiere al número de cantidades independientes que se necesitan en su cálculo, menos el número de restricciones que ligan a las observaciones y el estadístico.",book4
59,HISTOGRAMA," Gráfico utilizado para representar la distribución de frecuencias de una variable continua.   Describe el comportamiento de un conjunto de datos en cuanto a su tendencia central, forma y dispersión.",book4
60,NDICE," Es la relación expresada en porcentaje entre el precio, cantidad o valor de un bien y servicio o conjunto de bienes y servicios, en un período ",book4
61,NDICE DE CANTIDAD, Es un número que refleja la variación en las cantidades de un producto o un conjunto de productos en dos momentos en el tiempo,book4
62,NDICE DE PRECIOS,"Es un número que refleja el cambio en el precio de un bien, servicio o conjunto de bienes y servicios en un período de tiempo, en relación con el precio en un período de referencia (período base).  
Í",book4
63,NDICE DE VALOR,Es un número que expresa la variación en el valor de un conjunto de productos en dos momentos en el tiempo o el espacio,book4
